restaurant_name,sandwich_name,category,is_featured,image_url,nyt_link,address,website,price,description
Spring Cafe,Vegan BBQ pork bao bun,Veg In,0,https://static01.nytimes.com/newsgraphics/2024-05-21-sandwich/_images/vegetarian4-@@-300.webp,https://www.nytimes.com/shared/v2/interactive/2024/dining/best-nyc-sandwiches/spring-cafe.html,153d Centre Street (Canal Street),https://springcafenyc.com/,6,"Defying New York City’s reputation for a lack of hospitality, Spring Cafe draws a clientele often greeted by name. (“No smoothie today, Cindy?”) Though they occupy a modest amount of space on an eclectic vegan menu, the bao buns are some of the best deals in the city, priced at two for $10.95. The most popular one, the vegan barbecue pork bao, folds brittle-edged, caramelized coins of deep-fried seitan into puffy buns, along with cool rounds of cucumber, crisp iceberg lettuce and a swipe of the house barbecue sauce, which tastes like hoisin with nuance, more spice than sweetness. Easily clutched and devoured on the go, this sandwich is all texture — cool, crisp, crunch on a cloud of yeasted dough — and delivers a hint of five-spice that lingers. ALEXA WEIBEL"
Aunts et Uncles,Vegan lobster roll,Veg In,0,https://static01.nytimes.com/newsgraphics/2024-05-21-sandwich/_images/vegetarian2-@@-300.webp,https://www.nytimes.com/shared/v2/interactive/2024/dining/best-nyc-sandwiches/aunts-et-uncles.html,1407 Nostrand Avenue (Martense Street),https://auntsetuncles.com/,17,"As you might have guessed, there is absolutely no lobster in the vegan lobster roll at Aunts et Uncles in Flatbush. But you’ll be surprised by how close vegan mayo-smothered hearts of palm mixed with diced red onions and served in a toasted pretzel bun can come. Also, have you seen the price of lobster lately? NIKITA RICHARDSON"
Katz’s Delicatessen,Pastrami on rye,Pastrami City,1,,https://www.nytimes.com/shared/v2/interactive/2024/dining/best-nyc-sandwiches/katzs-delicatessen.html,,,,"Best pastrami on rye in the city? Not the one at Katz’s, built on bland, flimsy rye that would probably fall apart even if it weren’t tasked with holding a hot stack of cured meat the size of an armadillo. But to paraphrase the Gospel, a Lower East Side delicatessen does not live by bread alone. Bits of what in theater is called “business” are more than half the pleasure: the ticket, the turnstile, the wait at the counter, the pepper-crusted preview slice offered for your approval, the cash tips you stuff into a plastic quart takeout tub. Pastrami ordered and eaten at Katz’s is both a meal and a ceremony, one that can turn tourists into New Yorkers and New Yorkers into tourists. PETE WELLS"
Frankel’s Delicatessen & Appetizing,"Pastrami, egg and cheese",Pastrami City,0,https://static01.nytimes.com/newsgraphics/2024-05-21-sandwich/_images/pastrami1-@@-300.webp,https://www.nytimes.com/shared/v2/interactive/2024/dining/best-nyc-sandwiches/frankels-delicatessen-appetizing.html,631 Manhattan Avenue (Nassau Street),https://frankelsdelicatessen.com/,14,"At his deli in Greenpoint, Zach Frankel has taken a classic New York-style bacon-egg-and-cheese sandwich and given it an update. He started out by simply substituting housemade pastrami for the bacon, yet this re-engineering took more than just swapping out the meats. In the original sandwich the wavy, textured bacon grips the eggs and holds them in place. But Mr. Frankel found that his thin slices of pastrami slipped around too much, sliding off the egg and out of the roll. So he cut the pastrami into thick, soft chunks that sink securely into the fluffy cloud of scrambled eggs. Each mouthful yields just the right combination of silky egg; smoky, gently spiced meat; and melty pulls of American cheese — and it all stays put. MELISSA CLARK"
Shalom Japan,Wagyu pastrami sando,Pastrami City,0,https://static01.nytimes.com/newsgraphics/2024-05-21-sandwich/_images/pastrami3-@@-300.webp,https://www.nytimes.com/shared/v2/interactive/2024/dining/best-nyc-sandwiches/shalom-japan.html,310 South Fourth Street (Rodney Street),https://shalomjapannyc.com/,23,"Shalom Japan’s Wagyu pastrami sando has just three components — bread, meat, mustard — but its elemental ingredient list fails to reflect its complexity. Sawako Okochi and Aaron Israel, co-chefs and co-owners of this Williamsburg restaurant, start with Wagyu beef brisket, prized for its marbled fat. They separate the flat and the deckle, which cook at different rates, and brine them with salt, brown sugar, peppercorns and coriander for about two weeks. Next rubbed with black pepper, coriander, paprika, garlic powder and ground nori, the brined meat is smoked over cherry wood, then steamed until tender. Sliced into heftier pieces than your average pastrami, the meat melts in your mouth. It’s tucked into delicate, untoasted shokupan with caraway seeds — a nod to rye — and just enough Gulden’s mustard to remind you you’re alive. ALEXA WEIBEL"
Liebman’s Deli,The No. 7,Pastrami City,0,https://static01.nytimes.com/newsgraphics/2024-05-21-sandwich/_images/pastrami2-@@-300.webp,https://www.nytimes.com/shared/v2/interactive/2024/dining/best-nyc-sandwiches/liebmans-deli.html,552 West 235th Street (Johnson Avenue),https://liebmansdeli.com/,26,"This sandwich, with layers of thinly sliced pastrami and corned beef topped with rich coleslaw and Russian dressing, isn’t unique to Liebman’s. (Though its creation may be unique to New York City — where else would Eastern European pastrami have crossed paths with Irish corned beef and a dressing invented in the United States?) Liebman’s exceptionality, rather, stems from its status as the last Jewish deli in the Bronx, a dubious honor perhaps in a city that is running short on classic delicatessens. But it’s going strong, possibly poised to last another 71 years after a second location opened last year in the Westchester County village of Ardsley. “It doesn’t matter if we’re one of 100 or we’re the last one,” said Yuval Dekel, whose Israel-born father bought the deli in 1980. “We’re kind of stubborn, we just stay the way we are.” NIKITA RICHARDSON"
Russ & Daughters Cafe,Classic bagel and lox,Gotham Greats,1,,https://www.nytimes.com/shared/v2/interactive/2024/dining/best-nyc-sandwiches/russ-daughters-cafe.html,,,,"There may be better purveyors of bagels, cream cheese and smoked salmon in New York, but there’s nowhere better to sit down to eat them than Russ & Daughters Cafe. Bathe in its glow of nostalgia for the old Lower East Side (a glowed-up version, with cocktails) while you watch the fish cutters shave transparent slices of Nova salmon. They arrive properly separated from the bagels, tomato slices, red onion, capers and cream cheese on the classic board. Unlike the bagel sandwiches sold at the original Russ & Daughters location on East Houston Street, here it’s a strictly open-faced situation. JULIA MOSKIN"
Blue Sky Deli (Hajji’s),Chopped cheese,Gotham Greats,0,https://static01.nytimes.com/newsgraphics/2024-05-21-sandwich/_images/classics5-@@-300.webp,https://www.nytimes.com/shared/v2/interactive/2024/dining/best-nyc-sandwiches/blue-sky-deli-hajjis.html,2135 First Avenue (110th Street),https://www.instagram.com/hajjis110/,8,"Much has been written about Blue Sky Deli, also known as Hajji’s, the Spanish Harlem corner deli and purported birthplace of one of the city’s most beloved sandwiches. The history is fuzzy: It was either inspired by a Yemeni dish (minus the cheese) or it was invented by Carlos Soto, a longtime employee who died in 2014. Either way, it became a phenomenon, and that is reason enough for Blue Sky’s chopped cheese to make our list. But the version served here — essentially a chopped-up patty melt with tomatoes, lettuce and onions on a fluffy roll or a fragrant hero, your choice — lives up to the hype. You’ll want to order two: one for now and one for five minutes after now. NIKITA RICHARDSON"
The Old Town Bar and Restaurant,The Governor’s Choice,Gotham Greats,0,https://static01.nytimes.com/newsgraphics/2024-05-21-sandwich/_images/classics2-@@-300.webp,https://www.nytimes.com/shared/v2/interactive/2024/dining/best-nyc-sandwiches/the-old-town-bar-and-restaurant.html,45 East 18th Street (Park Avenue South),https://oldtownbarnyc.com/,17,"The governor was George Pataki, said to have a soft spot for the combination of mushrooms and melted Muenster between dark planks of pumpernickel. If Mr. Pataki’s culinary bona fides aren’t good enough for you, maybe you’ll listen to the chef Wylie Dufresne. Mr. Dufresne has been an Old Town regular for at least three decades and an appreciator of the sandwich for almost as long. “It’s definitely simple, but smartly chosen,” he said, pointing out dairy’s affinity for mushrooms and Muenster’s ability to “melt like nobody’s business.” At his restaurant Stretch Pizza, a few blocks away, Mr. Dufresne translates the Governor’s Choice into pizza form. Like its source material, it brings to mind the flavors of Eastern Europe in the contours they assumed as naturalized citizens of New York. PETE WELLS"
Grand Central Oyster Bar,Caviar sandwich,Gotham Greats,0,https://static01.nytimes.com/newsgraphics/2024-05-21-sandwich/_images/classics4-@@-300.webp,https://www.nytimes.com/shared/v2/interactive/2024/dining/best-nyc-sandwiches/grand-central-oyster-bar.html,89 East 42nd Street (Park Avenue),https://www.oysterbarny.com/,45,"It takes a lot for a white-bread sandwich born in the 20th century to make this list. And it’s not here because the filling is a thick schmear of sustainable, domestic caviar, offset by the mildness of chopped hard-cooked egg. Or that it comes with a cool, crunchy cucumber-onion salad that — who knew? — is just what you want to eat between bites. It’s that the sandwich is a perfect expression of the art of white toast: golden but not brown, crisp but not hard, sturdy but delicate. It’s a perfect appetizer for two with a martini or Champagne, especially as a lead-in to clams and oysters from the peerless raw bar. The only pain point is its price, which has gone from about $14 in 2019, when caviar prices were at a historic low, to $45 amid today’s high demand and inflation. JULIA MOSKIN"
Roll N Roaster,Roll-n-Roast beef,Gotham Greats,0,https://static01.nytimes.com/newsgraphics/2024-05-21-sandwich/_images/classics3-@@-300.webp,https://www.nytimes.com/shared/v2/interactive/2024/dining/best-nyc-sandwiches/roll-n-roaster.html,2901 Emmons Avenue (East 29th Street),https://www.rollnroaster.com/,8,"There are many distractions at Roll N Roaster, a Sheepshead Bay mainstay since 1970. A wheel to spin on your birthday for $5, $10, $15 or $25 worth of gold Roll n Roaster coins. The “Pleezes” and “Cheezes” that litter the menu. Bottles of Moët Champagne for $59.95. But the true thrill is the Roll-n-Roast Beef, the top-selling sandwich at the shop. It’s a delight best eaten in the moment: slow-cooked beef on a sesame bun that slowly dissolves in the gravy. The sandwich arrives on a paper plate in a restaurant that is also a time capsule of another, more golden time. Truly golden. Just look at the tables, the light fixtures, the liquid Cheez. “When a place is nostalgic,” the general manager Eric Rodriguez said, “you cannot change anything.” SARA BONISTEEL"
Anthony’s Paninoteca,Do It For Johnny,‘Let Me Get Uhh…’,1,,https://www.nytimes.com/shared/v2/interactive/2024/dining/best-nyc-sandwiches/anthonys-paninoteca.html,,,,"What would New York be without its Wall Street guys turned restaurateurs? (This is, partly, a joke.) Before he left finance in 2018, Anthony Valois was a passionate home cook who competed in his share of chili cooking competitions on Staten Island. (That’s how he was discovered by the Staten Island Advance’s food editor, Pamela Silvestri.) Like so many competitive cooks before him, Mr. Valois briefly went into barbecue; but he’s found much more satisfaction in this tiny sandwich shop, where one day there might be housemade pastrami on the menu and hand-rolled meatballs the next. But this roast beef sandwich, an Italian-leaning take on French dip that substitutes mozzarella for the usual Swiss cheese, is a mainstay and reason enough to brave traffic on the Verrazano. NIKITA RICHARDSON"
Milano Market,Chicken Caesar wrap,‘Let Me Get Uhh…’,0,https://static01.nytimes.com/newsgraphics/2024-05-21-sandwich/_images/deli3-@@-300.webp,https://www.nytimes.com/shared/v2/interactive/2024/dining/best-nyc-sandwiches/milano-market.html,Multiple locations,https://www.milanomarketnyc.com/,15,"An unholy mash-up of a salad, a sandwich and a burrito, the chicken Caesar wrap is the 21st century’s contribution to the deli canon. (McDonald’s Snack Wraps, introduced in 2006, inspired countless copycats.) You can get it delivered, but some of the pleasure of this TikTok-famous sandwich is the frenzied cornucopia at Upper West Side and Upper East Side locations of Milano Market, which are filled with walls of deli meat, pyramids of panettone and the metallic clanging of tongs against bowls. Show up any time (after school is rush hour here), order your wrap toasted and admire the tong technique of the workers who toss the chunks of chicken breast (grilled or fried), romaine, shredded Romano cheese and the garlicky croutons that provide a much-appreciated crunch. JULIA MOSKIN"
Farmer in the Deli,Chopped salad sandwich,‘Let Me Get Uhh…’,0,https://static01.nytimes.com/newsgraphics/2024-05-21-sandwich/_images/deli4-@@-300.webp,https://www.nytimes.com/shared/v2/interactive/2024/dining/best-nyc-sandwiches/farmer-in-the-deli.html,357 Myrtle Avenue (Adelphi Street),https://www.instagram.com/farmerdeli1/,11,"What makes a tuna or chicken salad sandwich so good? The combination of ingredients, sure, but also the perfect distribution of ingredients, made possible only by chopping everything to bits. Farmer in the Deli asks the question: What if that same ethos was applied to any sandwich? Turkey, bacon, lettuce, provolone, salt, vinegar and tomatoes? Chopped. No longer a sandwich as you might have imagined it, but the sandwich you didn’t know you were waiting for. NIKITA RICHARDSON"
BKLYN Larder,Prosciutto & butter,‘Let Me Get Uhh…’,0,https://static01.nytimes.com/newsgraphics/2024-05-21-sandwich/_images/deli2-@@-300.webp,https://www.nytimes.com/shared/v2/interactive/2024/dining/best-nyc-sandwiches/bklyn-larder.html,228 Flatbush Avenue (Bergen Street),https://bklynlarder.com/,9,"This is one of the borough’s best bites, and it’s not just because of the ham. To be sure, it’s got a prosciutto of provenance, made from whey-fed Parma pigs and cured for 36 months before being shipped across the Atlantic. But just as important is the exquisite Rodolphe Le Meunier butter (affectionately nicknamed R.L.M. on the Larder’s menu), which is handmade in France in wooden churns and seasoned with fleur de sel. Then there’s the Runner & Stone sourdough baguette — thinner, chewier and crisper than many of its ilk. Still, the magic comes together in the sandwich’s construction: Equal parts creamy butter and salty ham are slathered on the bread and layered into a filling almost as thick as the baguette slices themselves. It’s substantial but not at all overwhelming, a lovingly made Brooklyn take on an elegant classic. MELISSA CLARK"
Foster Sundry,Porchettaboutit,‘Let Me Get Uhh…’,0,https://static01.nytimes.com/newsgraphics/2024-05-21-sandwich/_images/italian4-@@-300.webp,https://www.nytimes.com/shared/v2/interactive/2024/dining/best-nyc-sandwiches/foster-sundry.html,215 Knickerbocker Avenue (Troutman Street),https://www.fostersundry.com/,16,"The 2016 closing of Porchetta, the chef Sara Jenkins’s ode to roasted pork in the East Village, was something of a hyperlocal, food-related tragedy. But a successor quietly appeared in 2015: Foster Sundry, an upscale shop in Bushwick from a Murray’s Cheese alumnus. All the meats are butchered and prepared in-house, including the smoked porchetta rubbed down with what the owner, Aaron Foster, calls “a luxurious amount” of fennel pollen imported from Italy and served with arugula, fennel mayo and pickled fennel, all of it cut through with lemon and garlic. Foster Sundry may have been born of Brooklyn’s peak artisanal era, when everything was small-batch or bust, but its longevity proves that well-made sandwiches are not just a passing fad. NIKITA RICHARDSON"
Salty Lunch Lady’s Little Luncheonette,Dill Party,Diner Party,1,,https://www.nytimes.com/shared/v2/interactive/2024/dining/best-nyc-sandwiches/salty-lunch-ladys-little-luncheonette.html,,,,"As long as Dria Atencio has been cooking — about 15 years — she has been dreaming up sandwiches. (“I have books and books and books of sandwich ideas,” she said.) Those dreams became reality at her restaurant in Ridgewood, where she serves this maximalist sandwich featuring house-brined turkey, dill mayonnaise, dill havarti, dill pickles and avocado. The Salty Lunch Lady operation is small, so there’s usually a short wait for your sandwich, but that just means starting with dessert — s’mores icebox cake, airy Pavlova or banoffee pie from an old-school rotating display case — while you wait. NIKITA RICHARDSON"
Golden Diner,Chicken katsu club,Diner Party,0,https://static01.nytimes.com/newsgraphics/2024-05-21-sandwich/_images/diner1-@@-300.webp,https://www.nytimes.com/shared/v2/interactive/2024/dining/best-nyc-sandwiches/golden-diner.html,123 Madison Street (Market Street),https://www.goldendinerny.com/,19,"There’s not a sandwich at Golden Diner that doesn’t merit an interminable brunch-rush wait. Take the chicken katsu club, which integrates the chicken katsus the owner and chef, Sam Yoo, grew up eating into a classic diner club. He starts with three slices of soft, Japanese-style milk bread and composes a two-layer sandwich, creating a Kewpie-mayo-sweetened BLT on one side and the katsu elements on the other: panko-crusted chicken thighs, cabbage slaw and Bull-Dog tonkatsu sauce. Consider just the cabbage. It’s sliced; salted, 2 percent by weight, to remove excess moisture; then rehydrated and seasoned with housemade Thousand Island dressing that uses bread and butter pickles from the Pickle Guys. “For every sandwich we do, our R&D process is similar to when we were in fine dining,” Mr. Yoo said. Because each detail has been perfected, each bite is perfect. ALEXA WEIBEL"
Agi’s Counter,Confit tuna melt,Diner Party,0,https://static01.nytimes.com/newsgraphics/2024-05-21-sandwich/_images/diner2-@@-300.webp,https://www.nytimes.com/shared/v2/interactive/2024/dining/best-nyc-sandwiches/agis-counter.html,818 Franklin Avenue (Union Street),https://agiscounter.com/,17,"The devotion to this sandwich is so great that even joking about taking it off the menu — as the chef Jeremy Salamon did this past April Fools’ Day — can send diners into a tailspin. In its original iteration, the tuna melt was an open-faced tuna salad sandwich topped with matchstick fries. “I don’t know why we’re serving an open tuna sandwich when it really should be a tuna melt,” Mr. Salamon said to his sous-chef, before creating Agi’s now-beloved version. Oily, slow-cooked tuna, alpine Cheddar, pickled peppers, celery, dill and Kewpie mayo come on toasted, pillowy Pullman bread, with a small cup of cutting French mustard for every last bite. It’s an ever-so-slightly-elevated take that proves that, maybe, it is worth trying to build a better mousetrap. NIKITA RICHARDSON"
S & P Lunch,Tuna salad,Diner Party,0,https://static01.nytimes.com/newsgraphics/2024-05-21-sandwich/_images/diner5-@@-300.webp,https://www.nytimes.com/shared/v2/interactive/2024/dining/best-nyc-sandwiches/s-p-lunch.html,174 Fifth Avenue (West 22nd Street),https://sandwich.place/,13,"There’s a reason the tuna melt at S & P Lunch has a devoted audience, and that reason is the tuna salad. Take away the American cheese and what you’re left with is a model of the smooth, soft, mild, reassuring, ungentrified type of tuna salad that prevailed before the rise of aspirational mix-ins like pimentón and grapes. Like an expensive mattress, it is neither too soft nor too firm, and an encounter with it can fix aches and cricks you didn’t know you had. PETE WELLS"
